,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
4666,2018-07-20T00:00:00.000Z,191.44,192.43,190.17,191.78,20706042,45.3423318667,45.5768121663,45.0415339067,45.4228604544,82824168,0.0,1.0
4667,2018-07-23T00:00:00.000Z,191.61,191.96,189.56,190.68,15989365,45.3825961606,45.4654932362,44.8970561463,45.1623267883,63957460,0.0,1.0
4668,2018-07-24T00:00:00.000Z,193.0,193.66,192.05,192.45,18697898,45.7118159751,45.8681361748,45.486809627,45.581549142,74791592,0.0,1.0
4669,2018-07-25T00:00:00.000Z,194.82,194.85,192.43,193.06,16826483,46.1428807682,46.1499862319,45.5768121663,45.7260269023,67305932,0.0,1.0
4670,2018-07-26T00:00:00.000Z,194.21,195.96,193.61,194.61,19075964,45.9984030079,46.4128883859,45.8562937354,46.0931425229,76303856,0.0,1.0
4671,2018-07-27T00:00:00.000Z,190.98,195.19,190.1,194.99,24023972,45.2333814245,46.2305148196,45.0249544915,46.1831450621,96095888,0.0,1.0
4672,2018-07-30T00:00:00.000Z,189.91,192.2,189.07,191.9,21029535,44.9799532219,45.5223369452,44.7810002405,45.4512823089,84118140,0.0,1.0
4673,2018-07-31T00:00:00.000Z,190.29,192.14,189.34,190.3,39373038,45.0699557612,45.5081260179,44.8449494131,45.072324249,157492152,0.0,1.0
4674,2018-08-01T00:00:00.000Z,201.5,201.76,197.31,199.13,67935716,47.7250306683,47.786611353,46.732634249,47.1636990421,271742864,0.0,1.0
4675,2018-08-02T00:00:00.000Z,207.39,208.38,200.35,200.58,62404012,49.1200700263,49.3545503259,47.4526545628,47.5071297839,249616048,0.0,1.0
4676,2018-08-03T00:00:00.000Z,207.99,208.74,205.48,207.03,33447396,49.2621792988,49.4398158893,48.6676888423,49.0348044628,133789584,0.0,1.0
4677,2018-08-06T00:00:00.000Z,209.07,209.25,207.07,208.0,25425387,49.5179759892,49.5606087709,49.0442784143,49.2645477866,101701548,0.0,1.0
4678,2018-08-07T00:00:00.000Z,207.11,209.5,206.76,209.32,25587387,49.0537523658,49.6198209678,48.9708552902,49.5771881861,102349548,0.0,1.0
4679,2018-08-08T00:00:00.000Z,207.25,207.81,204.52,206.05,22525487,49.0869111961,49.219546517,48.4403140064,48.8026926511,90101948,0.0,1.0
4680,2018-08-09T00:00:00.000Z,208.88,209.78,207.2,207.28,23492626,49.4729747196,49.6861386283,49.0750687567,49.0940166597,93970504,0.0,1.0
4681,2018-08-10T00:00:00.000Z,207.53,209.1,206.67,207.36,24611202,49.3261284714,49.6992890829,49.1217220218,49.2857225453,98444808,0.73,1.0
4682,2018-08-13T00:00:00.000Z,208.87,210.95,207.7,207.7,25890880,49.6446222417,50.1390006314,49.3665343975,49.3665343975,103563520,0.0,1.0
4683,2018-08-14T00:00:00.000Z,209.75,210.56,208.26,210.16,20748010,49.8537823296,50.0463046833,49.4996362716,49.9512319161,82992040,0.0,1.0
4684,2018-08-15T00:00:00.000Z,210.24,210.74,208.33,209.22,28807564,49.9702464695,50.0890874286,49.5162740059,49.727810913,115230256,0.0,1.0
4685,2018-08-16T00:00:00.000Z,213.32,213.81,211.47,211.75,28500367,50.7023067774,50.8187709173,50.2625952288,50.3291461659,114001468,0.0,1.0
4686,2018-08-17T00:00:00.000Z,217.58,217.95,213.16,213.44,35426997,51.7148317487,51.8027740584,50.6642776705,50.7308286076,141707988,0.0,1.0
4687,2018-08-20T00:00:00.000Z,215.46,219.18,215.11,218.1,30287695,51.2109460822,52.0951228177,51.1277574109,51.8384263461,121150780,0.0,1.0
4688,2018-08-21T00:00:00.000Z,215.04,217.19,214.03,216.8,26159755,51.1111196766,51.6221358006,50.8710609393,51.5294398525,104639020,0.0,1.0
4689,2018-08-22T00:00:00.000Z,215.05,216.36,213.84,214.1,19018131,51.1134964958,51.4248598085,50.8259013748,50.8876986735,76072524,0.0,1.0
4690,2018-08-23T00:00:00.000Z,215.49,217.05,214.6,214.65,18883224,51.2180765398,51.5888603321,51.0065396326,51.0184237285,75532896,0.0,1.0
4691,2018-08-24T00:00:00.000Z,216.16,216.9,215.11,216.6,18476356,51.3773234249,51.5532080443,51.1277574109,51.4819034689,73905424,0.0,1.0
4692,2018-08-27T00:00:00.000Z,217.94,218.74,216.33,217.15,20525117,51.8003972392,51.9905427737,51.417729351,51.6126285239,82100468,0.0,1.0
4693,2018-08-28T00:00:00.000Z,219.7,220.54,218.92,219.01,22776766,52.2187174151,52.4183702264,52.033325519,52.0547168916,91107064,0.0,1.0
4694,2018-08-29T00:00:00.000Z,222.98,223.49,219.41,220.15,27254804,52.9983141066,53.1195318849,52.1497896589,52.3256742783,109019216,0.0,1.0
